gender,age,education,radio,newspaper,tv,internet
0,69,4,7,6,2,5
1,66,6,7,6,7,5
0,72,2,5,6,0,0
0,35,7,4,7,5,1
0,60,2,0,4,0,0
1,53,6,5,6,7,6
1,28,4,0,0,0,3
0,45,6,4,6,4,0
0,69,5,7,6,6,7
0,76,1,7,0,4,2
0,48,4,4,4,4,2
1,38,7,5,0,4,2
0,40,7,1,2,0,7
0,40,6,1,6,3,0
0,64,2,2,6,1,0
0,37,4,3,7,7,0
1,23,6,0,4,5,6
1,18,2,0,0,0,0
0,39,6,4,0,7,3
1,40,4,4,2,2,7
0,63,2,7,7,6,1
0,66,2,7,6,7,0
0,65,2,0,7,4,1
0,41,2,0,0,1,0
0,46,2,4,3,4,2
1,78,4,6,6,5,0
1,40,6,3,5,5,4
1,55,4,7,7,7,0
0,59,3,0,6,6,0
0,69,5,2,7,7,1
0,33,4,5,0,0,0
0,44,4,3,0,2,0
0,54,6,4,2,6,3
0,35,4,4,4,1,1
0,28,3,3,0,3,0
1,63,4,2,0,0,5
1,41,4,7,0,0,0
1,43,,0,0,0,0
0,30,4,4,1,7,3
1,62,4,7,6,6,0
0,51,4,7,2,0,2
0,59,1,7,0,5,0
1,26,4,3,2,4,1
0,57,4,7,6,6,2
1,41,6,5,0,4,0
0,54,2,7,6,7,5
1,17,2,0,1,0,0
1,48,4,7,7,7,0
1,38,4,5,5,0,0
1,39,6,5,0,5,5
0,49,4,6,0,6,3
0,70,2,7,6,5,7
1,33,6,7,5,0,7
0,65,2,7,0,7,2
0,52,3,0,0,0,0
1,37,4,7,7,2,7
0,26,6,0,2,5,7
0,40,4,0,0,7,7
0,59,4,7,0,5,5
0,38,2,4,7,7,7
0,45,6,5,6,7,3
0,55,2,0,6,0,0
0,23,4,1,4,2,3
0,36,6,0,0,0,7
1,65,2,7,5,7,7
1,44,4,1,2,3,3
1,19,4,2,6,1,0
0,45,4,0,2,5,0
0,59,2,4,5,7,3
1,13,1,0,0,7,2
1,28,6,2,0,6,7
1,55,4,7,5,7,6
1,47,4,5,0,7,7
1,27,6,3,0,6,7
0,64,1,6,6,5,2
0,24,6,4,1,4,1
1,19,2,0,0,0,0
1,29,2,0,0,5,0
0,60,5,0,0,5,3
1,40,4,2,3,5,0
1,33,4,2,0,0,0
1,15,5,0,0,0,1
1,35,7,3,0,0,3
0,35,4,5,2,2,2
1,37,4,3,0,4,0
0,37,4,3,0,5,0
0,67,6,7,1,7,6
0,43,4,5,5,5,5
1,28,7,0,7,0,7
0,63,2,7,6,7,0
0,65,5,7,7,5,4
1,76,2,1,7,3,0
0,46,4,4,1,6,4
1,36,4,6,2,7,0
1,59,6,4,0,7,3
0,74,2,7,0,7,7
0,16,2,0,0,0,0
1,64,6,5,2,5,6
0,68,2,7,1,7,0
1,71,3,7,7,6,6
0,31,7,7,0,2,7
1,70,6,7,7,7,0
0,38,2,0,1,0,7
0,48,2,2,0,0,0
1,27,7,0,0,0,7
0,30,5,3,0,3,5
0,63,4,6,6,0,0
1,70,2,6,0,0,4
1,72,2,6,6,7,0
0,71,3,0,7,7,3
0,71,4,5,6,2,0
1,72,4,6,6,6,0
0,62,3,7,6,5,7
1,65,2,7,0,7,1
0,68,4,3,6,7,0
1,69,6,0,7,6,0
0,72,3,3,7,7,7
0,40,3,0,0,0,0
0,69,7,0,1,7,0
1,27,2,5,6,2,1
0,31,4,5,1,5,1
0,45,4,0,0,0,0
1,67,2,4,0,2,3
0,76,3,0,6,7,0
0,56,2,0,5,7,3
1,64,4,4,7,5,4
0,59,4,5,3,5,0
1,43,7,4,6,1,2
1,43,4,5,0,2,0
1,68,5,6,1,6,3
0,65,3,3,6,6,0
1,38,4,0,6,2,5
0,36,2,7,3,0,0
0,37,3,3,0,2,0
0,42,4,0,0,2,5
1,83,2,7,1,7,0
1,36,5,4,0,7,4
1,27,3,0,2,5,5
0,22,7,0,0,0,0
0,33,4,5,0,1,3
0,52,2,1,6,4,0
1,31,4,5,0,4,7
1,14,1,3,0,3,0
1,25,6,7,7,7,7
1,38,2,5,0,4,1
0,59,6,4,7,7,4
1,30,4,7,0,0,2
1,24,2,1,4,5,1
1,55,3,0,7,6,5
1,28,7,5,1,0,7
