,wijk,stadsdeel,code,year,woz-waarde
399,De Weteringschans,Centrum,A07,2018,515192.0
400,Weesperbuurt/Plantage,Centrum,A08,2018,473643.0
401,Oostelijke Eilanden/Kadijken,Centrum,A09,2018,381774.0
402,Westelijk Havengebied,Westpoort,B10,2018,
403,Houthavens,West,E12,2018,483318.0
404,Spaarndammer- en Zeeheldenbuurt,West,E13,2018,322981.0
405,Staatsliedenbuurt,West,E14,2018,325787.0
406,Centrale Markt,West,E15,2018,396012.0
407,Frederik Hendrikbuurt,West,E16,2018,338110.0
408,Da Costabuurt,West,E17,2018,400998.0
409,Kinkerbuurt,West,E18,2018,346255.0
410,Van Lennepbuurt,West,E19,2018,322065.0
411,Helmersbuurt,West,E20,2018,473981.0
412,Overtoomse Sluis,West,E21,2018,409990.0
413,Vondelbuurt,West,E22,2018,844347.0
414,Sloterdijk,West,E36,2018,448161.0
415,Landlust,West,E37,2018,277961.0
416,Erasmuspark,West,E38,2018,283329.0
417,De Kolenkit,West,E39,2018,269738.0
418,Geuzenbuurt,West,E40,2018,333029.0
419,Van Galenbuurt,West,E41,2018,283882.0
420,Hoofdweg eo,West,E42,2018,287465.0
421,Westindische Buurt,West,E43,2018,358346.0
422,Chassébuurt,West,E75,2018,346607.0
423,Bedrijventerrein Sloterdijk,Nieuw-West,F11,2018,93104.0
424,Slotermeer-Noordoost,Nieuw-West,F76,2018,192389.0
425,Slotermeer-Zuidwest,Nieuw-West,F77,2018,191064.0
426,Geuzenveld,Nieuw-West,F78,2018,220329.0
427,Eendracht,Nieuw-West,F79,2018,270374.0
428,Lutkemeer/Ookmeer,Nieuw-West,F80,2018,483447.0
429,Osdorp-Oost,Nieuw-West,F81,2018,207884.0
430,Osdorp-Midden,Nieuw-West,F82,2018,224934.0
431,De Punt,Nieuw-West,F83,2018,188823.0
432,Middelveldsche Akerpolder,Nieuw-West,F84,2018,332670.0
433,Slotervaart-Noord,Nieuw-West,F85,2018,256603.0
434,Overtoomse Veld,Nieuw-West,F86,2018,228524.0
435,Westlandgracht,Nieuw-West,F87,2018,224161.0
436,Sloter-/Riekerpolder,Nieuw-West,F88,2018,330616.0
437,Slotervaart-Zuid,Nieuw-West,F89,2018,246413.0
438,Zuidas,Zuid,K23,2018,358804.0
439,Oude Pijp,Zuid,K24,2018,382467.0
440,Nieuwe Pijp,Zuid,K25,2018,360267.0
441,Zuid-Pijp,Zuid,K26,2018,355106.0
442,Hoofddorppleinbuurt,Zuid,K44,2018,355686.0
443,Schinkelbuurt,Zuid,K45,2018,359277.0
444,Willemspark,Zuid,K46,2018,914295.0
445,Museumkwartier,Zuid,K47,2018,860067.0
446,Stadionbuurt,Zuid,K48,2018,409450.0
447,Apollobuurt,Zuid,K49,2018,1003743.0
448,Scheldebuurt,Zuid,K52,2018,477590.0
449,IJselbuurt,Zuid,K53,2018,369276.0
450,Rijnbuurt,Zuid,K54,2018,350936.0
451,Prinses Irenebuurt eo,Zuid,K59,2018,745698.0
452,Buitenveldert-West,Zuid,K90,2018,373445.0
453,Buitenveldert-Oost,Zuid,K91,2018,330366.0
454,Weesperzijde,Oost,M27,2018,429196.0
455,Oosterparkbuurt,Oost,M28,2018,351823.0
456,Dapperbuurt,Oost,M29,2018,343221.0
457,Transvaalbuurt,Oost,M30,2018,333393.0
458,Indische Buurt-West,Oost,M31,2018,306433.0
459,Indische Buurt-Oost,Oost,M32,2018,312058.0
460,Oostelijk Havengebied,Oost,M33,2018,441577.0
461,Zeeburgereiland/Nieuwe Diep,Oost,M34,2018,177096.0
462,IJburg-West,Oost,M35,2018,402230.0
463,IJburg-Zuid,Oost,M51,2018,394988.0
464,Frankendael,Oost,M55,2018,318477.0
465,Middenmeer,Oost,M56,2018,417857.0
466,Betondorp,Oost,M57,2018,266711.0
467,De Omval/Overamstel,Oost,M58,2018,218509.0
468,Volewijck,Noord,N60,2018,212209.0
469,IJplein/Vogelbuurt,Noord,N61,2018,235667.0
470,Tuindorp Nieuwendam,Noord,N62,2018,231180.0
471,Tuindorp Buiksloot,Noord,N63,2018,231942.0
472,Nieuwendammerdijk/Buiksloterdijk,Noord,N64,2018,533710.0
473,Tuindorp Oostzaan,Noord,N65,2018,241357.0
474,Oostzanerwerf,Noord,N66,2018,251646.0
475,Kadoelen,Noord,N67,2018,306344.0
476,Waterlandpleinbuurt,Noord,N68,2018,226409.0
477,Buikslotermeer,Noord,N69,2018,215792.0
478,Banne Buiksloot,Noord,N70,2018,235716.0
479,Noordelijke IJ-oevers-West,Noord,N71,2018,295055.0
